VERSION -1073739260 0 0 0
ENTER kind/msg/state/clicks 3 8 45 0
ENTER kind/msg/state/clicks 3 243 45 0
LEAVE kind/msg/state/clicks 3 243 41 0
ENTER kind/msg/state/clicks 3 533 8 0
LEAVE kind/msg/state/clicks 3 533 8 0
CLICK kind/state/capture/count 3 8 0 1
LEAVE kind/msg/state/clicks 3 8 0 1
FOCUS_LOST kind/state/capture/clicks 3 0 0 1
FOCUS_CASE kind/mode 3 0 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 3 108 1 0
ENTER kind/msg/state/clicks 3 8 108 0
ENTER kind/msg/state/clicks 3 243 108 0
LEAVE kind/msg/state/clicks 3 243 104 0
ENTER kind/msg/state/clicks 3 533 8 0
LEAVE kind/msg/state/clicks 3 533 8 0
LEAVE kind/msg/state/clicks 3 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 3 0 0 0
FOCUS_CASE kind/mode 3 1 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 3 104 1 0
ENTER kind/msg/state/clicks 3 8 104 0
ENTER kind/msg/state/clicks 3 243 104 0
LEAVE kind/msg/state/clicks 3 243 104 0
ENTER kind/msg/state/clicks 3 533 8 0
LEAVE kind/msg/state/clicks 3 533 8 0
LEAVE kind/msg/state/clicks 3 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 3 0 0 0
FOCUS_CASE kind/mode 3 2 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 3 40 1 0
ENTER kind/msg/state/clicks 3 8 40 0
ENTER kind/msg/state/clicks 3 533 8 0
LEAVE kind/msg/state/clicks 3 533 8 0
LEAVE kind/msg/state/clicks 3 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 3 0 0 0
FOCUS_CASE kind/mode 3 3 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 3 12 0 0
ENTER kind/msg/state/clicks 3 8 12 0
ENTER kind/msg/state/clicks 3 243 12 0
LEAVE kind/msg/state/clicks 3 243 8 0
CLICK kind/state/capture/count 3 9 0 1
LEAVE kind/msg/state/clicks 3 8 1 1
FOCUS_CASE_AFTER kind/state/capture/clicks 3 1 0 1
DLGC kind/before/focused/style 4 8256 8256 4
SPACE_DOWN kind/state/capture/clicks 4 44 1 0
SPACE_UP kind/state/capture/clicks 4 8 0 1
HIGHLIGHT kind/state/capture/clicks 4 12 0 0
MOUSE_DOWN kind/state/capture/clicks 4 108 1 0
MOUSE_OUT kind/state/capture/clicks 4 104 1 0
MOUSE_BACK kind/state/capture/clicks 4 108 1 0
CAPTURE_LOST kind/state/capture/clicks 4 8 0 0
ENTER kind/msg/state/clicks 4 256 8 0
ENTER kind/msg/state/clicks 4 243 40 0
LEAVE kind/msg/state/clicks 4 243 44 0
LEAVE kind/msg/state/clicks 4 256 44 0
SECOND_SPACE_DOWN kind/state/capture/clicks 4 44 1 0
ENTER kind/msg/state/clicks 4 8 44 0
ENTER kind/msg/state/clicks 4 243 44 0
LEAVE kind/msg/state/clicks 4 243 40 0
ENTER kind/msg/state/clicks 4 533 8 0
LEAVE kind/msg/state/clicks 4 533 8 0
CLICK kind/state/capture/count 4 8 0 1
LEAVE kind/msg/state/clicks 4 8 0 1
FOCUS_LOST kind/state/capture/clicks 4 0 0 1
FOCUS_CASE kind/mode 4 0 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 4 108 1 0
ENTER kind/msg/state/clicks 4 8 108 0
ENTER kind/msg/state/clicks 4 243 108 0
LEAVE kind/msg/state/clicks 4 243 104 0
ENTER kind/msg/state/clicks 4 533 8 0
LEAVE kind/msg/state/clicks 4 533 8 0
LEAVE kind/msg/state/clicks 4 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 4 0 0 0
FOCUS_CASE kind/mode 4 1 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 4 104 1 0
ENTER kind/msg/state/clicks 4 8 104 0
ENTER kind/msg/state/clicks 4 243 104 0
LEAVE kind/msg/state/clicks 4 243 104 0
ENTER kind/msg/state/clicks 4 533 8 0
LEAVE kind/msg/state/clicks 4 533 8 0
LEAVE kind/msg/state/clicks 4 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 4 0 0 0
FOCUS_CASE kind/mode 4 2 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 4 40 1 0
ENTER kind/msg/state/clicks 4 8 40 0
ENTER kind/msg/state/clicks 4 533 8 0
LEAVE kind/msg/state/clicks 4 533 8 0
LEAVE kind/msg/state/clicks 4 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 4 0 0 0
FOCUS_CASE kind/mode 4 3 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 4 12 0 0
ENTER kind/msg/state/clicks 4 8 12 0
ENTER kind/msg/state/clicks 4 243 12 0
LEAVE kind/msg/state/clicks 4 243 8 0
CLICK kind/state/capture/count 4 8 0 1
LEAVE kind/msg/state/clicks 4 8 0 1
FOCUS_CASE_AFTER kind/state/capture/clicks 4 0 0 1
DLGC kind/before/focused/style 5 8192 8192 5
SPACE_DOWN kind/state/capture/clicks 5 44 1 0
SPACE_UP kind/state/capture/clicks 5 8 0 1
HIGHLIGHT kind/state/capture/clicks 5 12 0 0
MOUSE_DOWN kind/state/capture/clicks 5 108 1 0
MOUSE_OUT kind/state/capture/clicks 5 104 1 0
MOUSE_BACK kind/state/capture/clicks 5 108 1 0
CAPTURE_LOST kind/state/capture/clicks 5 8 0 0
ENTER kind/msg/state/clicks 5 256 8 0
ENTER kind/msg/state/clicks 5 243 40 0
LEAVE kind/msg/state/clicks 5 243 44 0
LEAVE kind/msg/state/clicks 5 256 44 0
SECOND_SPACE_DOWN kind/state/capture/clicks 5 44 1 0
ENTER kind/msg/state/clicks 5 8 44 0
ENTER kind/msg/state/clicks 5 243 44 0
LEAVE kind/msg/state/clicks 5 243 40 0
ENTER kind/msg/state/clicks 5 533 8 0
LEAVE kind/msg/state/clicks 5 533 8 0
CLICK kind/state/capture/count 5 8 0 1
LEAVE kind/msg/state/clicks 5 8 0 1
FOCUS_LOST kind/state/capture/clicks 5 0 0 1
FOCUS_CASE kind/mode 5 0 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 5 108 1 0
ENTER kind/msg/state/clicks 5 8 108 0
ENTER kind/msg/state/clicks 5 243 108 0
LEAVE kind/msg/state/clicks 5 243 104 0
ENTER kind/msg/state/clicks 5 533 8 0
